frame_index,bag_timestamp_ns,map_stamp_ns,component_index,stable_key_x,stable_key_y,exact_columns,area,horizontal_span,representative_x,representative_y,representative_z,unknown_direction_x,unknown_direction_y,unknown_direction_z,information_gain,direction_consistency,direction_votes_pos_x,direction_votes_pos_y,direction_votes_neg_x,direction_votes_neg_y,xy_min_x,xy_min_y,xy_max_x,xy_max_y,rejection,columns_complete,edges_complete
3,1784164312999738429,1784164310186407576,0,16437,16395,2220,88.800003052,25.904827118,20.554161072,0.427001208,0.126202419,0.000000000,1.000000000,0.000000000,28387.000000000,0.280163467,7779,7953,6094,6561,10.649999619,-4.750000000,34.150001526,6.150000095,Direction,1,1
3,1784164312999738429,1784164310186407576,1,16455,16411,1,0.040000003,0.141421899,14.305379868,5.497692108,-0.439230680,0.000000000,1.000000000,0.000000000,20.000000000,1.000000000,0,20,0,0,14.250000000,5.449999809,14.350000381,5.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,2,16457,16411,1,0.040000003,0.141421899,14.706794739,5.495678902,-0.248765528,0.000000000,1.000000000,0.000000000,22.000000000,1.000000000,0,22,0,0,14.649999619,5.449999809,14.750000000,5.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,3,16458,16378,1,0.040000003,0.141420975,14.900291443,-1.099091291,0.500909090,0.000000000,-1.000000000,0.000000000,5.000000000,1.000000000,0,0,0,5,14.850000381,-1.149999976,14.949999809,-1.049999952,Columns,1,1
3,1784164312999738429,1784164310186407576,4,16458,16409,1,0.040000003,0.141420886,14.898342133,5.103841782,-0.069780305,1.000000000,0.000000000,0.000000000,18.000000000,1.000000000,18,0,0,0,14.850000381,5.050000191,14.949999809,5.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,5,16459,16392,2,0.080000006,0.316227645,15.100577354,1.796668410,0.436666727,0.000000000,1.000000000,0.000000000,12.000000000,0.583333313,0,7,5,0,15.050000191,1.649999976,15.149999619,1.950000048,Columns,1,1
3,1784164312999738429,1784164310186407576,6,16459,16412,1,0.040000003,0.141420886,15.098689079,5.705261707,-0.103947304,0.000000000,1.000000000,0.000000000,22.000000000,1.000000000,0,22,0,0,15.050000191,5.650000095,15.149999619,5.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,7,16460,16389,1,0.040000003,0.141421646,15.301117897,1.100000262,0.498888910,-1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,0,0,5,0,15.250000000,1.049999952,15.350000381,1.149999976,Columns,1,1
3,1784164312999738429,1784164310186407576,8,16460,16415,2,0.080000006,0.424264014,15.412615776,6.183643341,-0.038785055,0.000000000,1.000000000,0.000000000,37.000000000,1.000000000,0,37,0,0,15.250000000,6.050000191,15.550000191,6.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,9,16462,16409,2,0.080000006,0.316227913,15.753290176,5.100544930,0.346703321,0.000000000,1.000000000,0.000000000,24.000000000,1.000000000,0,24,0,0,15.649999619,5.050000191,15.949999809,5.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,10,16462,16412,1,0.040000003,0.141421556,15.700913429,5.697271347,0.335454583,0.000000000,-1.000000000,0.000000000,12.000000000,1.000000000,0,0,0,12,15.649999619,5.650000095,15.750000000,5.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,11,16489,16366,3,0.120000005,0.360556096,21.217409134,-3.507302999,0.145505652,0.000000000,-1.000000000,0.000000000,20.000000000,0.449999988,5,0,6,9,21.049999237,-3.650000095,21.350000381,-3.450000048,Columns,1,1
3,1784164312999738429,1784164310186407576,12,16494,16411,3,0.120000005,0.509902000,22.325420380,5.495763302,0.068644054,0.000000000,1.000000000,0.000000000,43.000000000,0.604651153,0,26,17,0,22.049999237,5.449999809,22.549999237,5.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,13,16508,16364,3,0.120000005,0.424263656,25.036457062,-3.950585842,-0.133529410,1.000000000,0.000000000,0.000000000,23.000000000,1.000000000,23,0,0,0,24.850000381,-4.150000095,25.149999619,-3.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,14,16509,16361,1,0.040000003,0.141421899,25.099994659,-4.489999771,-0.500000000,-1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,0,0,7,0,25.049999237,-4.550000191,25.149999619,-4.449999809,Columns,1,1
